Year,Month,Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive,Narcotics,Smuggling,Total Cases
2024,December,Rajshahi Range,4,11,23,3,0,132,4,3,5,74,693,13,12,520,11,1508
2024,December,Rangpur Range,1,7,12,0,0,146,7,1,15,59,750,4,1,453,9,1465
2024,December,Railway Range,0,4,0,0,0,0,0,0,0,12,12,0,0,26,0,54
2025,January,DMP,8,54,36,24,7,127,31,10,60,146,679,12,5,583,9,1791
2025,January,CMP,2,7,3,7,0,26,5,4,12,28,120,3,0,152,2,371
2025,January,KMP,2,1,2,3,0,19,2,0,0,14,47,4,0,83,1,178
2025,January,RMP,1,0,2,0,0,12,1,1,4,5,51,1,1,87,0,166
2025,January,BMP,0,0,3,0,1,14,0,1,10,8,49,0,1,45,0,132
2025,January,SMP,0,1,0,5,0,7,0,0,7,20,60,0,3,25,18,146
2025,January,RPMP,0,2,1,0,0,4,5,0,0,7,32,1,2,20,0,74
2025,January,GMP,2,9,5,2,0,25,2,1,7,10,116,6,0,72,0,257
2025,January,Dhaka Range,24,31,76,4,0,229,16,5,44,106,1092,15,8,725,3,2378
2025,January,Mymensingh Range,4,2,13,11,0,85,5,2,7,46,427,3,0,234,28,867
2025,January,Chittagong Range,8,27,51,11,0,191,16,5,50,92,970,45,4,703,26,2199
2025,January,Sylhet Range,5,6,21,2,0,56,3,3,5,39,392,1,0,151,27,711
2025,January,Khulna Range,4,10,28,5,0,153,3,0,17,79,637,15,1,390,7,1349
2025,January,Barishal Range,4,2,12,12,0,98,3,3,15,40,515,3,2,138,0,847
2025,January,Rajshahi Range,4,12,22,5,0,200,9,1,10,73,670,16,8,532,13,1575
2025,January,Rangpur Range,3,6,19,0,0,194,4,2,14,67,730,4,0,423,7,1473
2025,January,Railway Range,0,1,0,0,0,0,0,0,0,17,16,0,0,23,1,58
2025,February,DMP,6,46,38,18,9,142,18,7,36,117,638,8,1,474,8,1566
2025,February,CMP,1,10,3,5,0,23,5,4,11,22,114,4,0,101,1,304
2025,February,KMP,0,1,1,0,0,7,3,0,2,14,45,1,0,74,0,148
2025,February,RMP,1,5,4,0,1,6,2,0,2,7,53,2,2,91,0,176
2025,February,BMP,1,0,2,0,0,17,0,0,4,5,47,0,0,24,0,100
2025,February,SMP,0,3,3,1,0,5,0,0,2,6,58,1,4,37,25,145
2025,February,RPMP,0,2,0,0,0,10,0,0,0,8,26,1,0,17,0,64
2025,February,GMP,1,1,8,0,0,20,6,0,2,12,93,2,5,59,0,209
2025,February,Dhaka Range,25,25,66,8,0,229,10,7,37,111,1051,13,0,563,1,2146
2025,February,Mymensingh Range,1,4,19,10,0,94,3,1,6,35,372,2,0,207,38,792
2025,February,Chittagong Range,13,14,50,11,0,171,10,5,43,75,896,32,4,601,25,1950
2025,February,Sylhet Range,2,6,13,3,0,79,1,5,4,50,385,1,0,103,23,675
2025,February,Khulna Range,2,11,22,2,0,140,2,1,18,60,591,12,7,315,8,1191
2025,February,Barishal Range,6,4,16,18,0,120,5,2,14,25,435,0,0,125,0,770
2025,February,Rajshahi Range,11,11,30,5,0,196,5,4,8,47,602,15,12,418,6,1370
2025,February,Rangpur Range,4,6,23,2,0,171,8,1,4,69,644,7,2,408,8,1357
2025,February,Railway Range,0,4,2,0,0,0,0,0,0,10,8,0,0,15,0,39
